[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:58372 -> 150.171.28.11:443 | PID: 14592 (msedgewebview2.exe)
[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:58362 -> 52.207.202.187:443 | PID: 15020 (tailscale-ipn.exe)
[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:58236 -> 35.174.127.31:443 | PID: 16608 (brave.exe)
[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:58418 -> 20.42.72.131:443 | PID: 18580 (Code.exe)
[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:58391 -> 18.169.61.189:443 | PID: 16608 (brave.exe)
[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:56740 -> 15.197.213.252:443 | PID: 13456 (Dashboard.exe)
[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:58334 -> 92.122.166.28:443 | PID: 16208 (MicrosoftStartFeedProvider.exe)
[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:58250 -> 104.17.123.183:443 | PID: 16608 (brave.exe)
[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:58371 -> 150.171.28.11:443 | PID: 2772 (msedgewebview2.exe)
[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:49444 -> 20.199.120.151:443 | PID: 5552 (svchost.exe)
[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:58388 -> 44.238.185.49:443 | PID: 16608 (brave.exe)
[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:58402 -> 18.169.120.191:443 | PID: 16608 (brave.exe)
[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:58218 -> 176.58.90.104:443 | PID: 7552 (tailscaled.exe)
[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:58355 -> 52.168.112.66:443 | PID: 16208 (MicrosoftStartFeedProvider.exe)
[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:58398 -> 99.86.91.51:443 | PID: 16608 (brave.exe)
[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:58319 -> 140.82.114.25:443 | PID: 16608 (brave.exe)
[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:58417 -> 20.199.39.224:443 | PID: 18580 (Code.exe)
[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:58240 -> 162.159.135.234:443 | PID: 16608 (brave.exe)
[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:58324 -> 18.159.140.118:443 | PID: 7552 (tailscaled.exe)
[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:58397 -> 3.164.163.73:443 | PID: 16608 (brave.exe)
[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:58394 -> 3.65.102.105:443 | PID: 16608 (brave.exe)
[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:58379 -> 18.245.175.54:443 | PID: 16608 (brave.exe)
[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:58331 -> 52.207.202.187:443 | PID: 5980 (tailscaled.exe)
[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:58239 -> 3.67.245.95:443 | PID: 16608 (brave.exe)
[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:58244 -> 3.67.245.95:443 | PID: 16608 (brave.exe)
[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:58414 -> 140.82.113.21:443 | PID: 18580 (Code.exe)
[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:58395 -> 3.67.131.16:443 | PID: 16608 (brave.exe)
[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:58416 -> 20.42.72.131:443 | PID: 8564 (Code.exe)
[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:58389 -> 52.222.201.100:443 | PID: 16608 (brave.exe)
[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:58415 -> 140.82.121.5:443 | PID: 18580 (Code.exe)
[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:58378 -> 35.83.149.158:443 | PID: 16608 (brave.exe)
[2025-05-07 19:29:40] Service: HTTPS | 10.100.8.151:58342 -> 23.34.112.183:443 | PID: 2772 (msedgewebview2.exe)
[2025-05-07 19:29:45] Service: HTTPS | 10.100.8.151:58422 -> 162.159.137.232:443 | PID: 16608 (brave.exe)
[2025-05-07 19:29:55] Service: HTTPS | 10.100.8.151:58429 -> 140.82.113.21:443 | PID: 18580 (Code.exe)
